ra,declination,redshift
214.594,0.622361,0.350367
214.739,0.365617,0.053104
214.827,0.057746,0.09698
214.905,0.072872,0.120709
214.878,0.164217,0.084082
214.785,0.347169,0.339492
214.803,0.001632,0.097217
214.711,-0.026394,0.481209
214.75,0.563522,0.053434
214.767,0.356598,0.122864
214.709,-0.093784,0.05222
214.866,0.106097,0.060061
215.755,-0.822393,0.169256
215.635,-0.705017,0.054325
215.839,-0.619934,0.073563
215.395,-0.651121,0.126874
215.56,-0.655451,0.10589
215.472,-0.671418,0.072309
215.632,-0.655326,0.055015
215.637,-0.751348,0.180514
215.525,-0.669308,0.054721
215.639,-0.631637,0.054375
215.368,-0.645432,0.127096
215.872,-0.377669,0.031906
215.924,-0.264779,0.127095
215.815,-0.288613,0.38235
215.954,-0.248344,0.084583
215.832,-0.422145,0.19216
215.863,-0.422492,0.084751
215.832,-0.17813,0.130578
215.911,-0.23078,0.382839
215.837,-0.290113,0.381226
215.813,-0.218099,0.139029
215.831,-0.53893,0.278259
215.853,-0.267961,0.208339
215.355,-1.03038,0.19045
215.608,-0.995479,0.156015
215.42,-0.988823,0.200665
215.532,-1.00039,0.101398
215.411,-1.1545,0.126174
215.519,-1.05438,0.082948
215.516,-0.957091,0.102979
215.58,-1.0392,0.191261
215.425,-0.720852,0.125265
215.408,-1.12526,0.102662
215.372,-0.797548,0.084266
215.346,-0.875184,0.084795
215.56,-0.974364,0.102287
215.486,-0.70089,0.05067
215.457,-0.7775,0.054898
215.711,-0.393466,0.130061
215.715,-0.495375,0.201283
215.702,-0.476852,0.126862
215.771,-0.369387,0.191292
215.751,-0.254549,0.055035
215.775,-0.208092,0.130946
215.701,-0.133372,0.323099
215.185,-1.16117,0.154756
215.27,-1.18049,0.192662
215.281,-1.12388,0.129652
215.18,-0.937699,0.127021
215.175,-0.676897,0.168918
215.132,-0.700947,0.101989
215.182,-0.710055,0.371806
215.259,-0.861965,0.054574
215.216,-0.974034,0.128639
215.195,-0.949557,0.128267
215.11,-0.873231,0.083832
215.16,-0.923601,0.126945
215.177,-0.752771,0.029318
215.295,-0.786882,0.126266
215.107,-1.23935,0.194128
215.194,-0.892506,0.126249
215.447,-0.560194,0.139611
215.534,-0.513701,0.125892
215.496,-0.590348,0.051077
215.469,-0.318124,0.14994
215.482,-0.563009,0.119723
215.553,-0.598528,0.127646
215.461,-0.418554,0.052767
215.449,-0.250955,0.138991
215.522,-0.122111,0.054365
215.599,-0.387703,0.005502
215.466,-0.182254,0.131107
